query,clicks,impressions,ctr,position
"cancun secrets mirabel",0,3,0.00,82.7
"cancun vs riviera maya",0,3,0.00,54.7
"cancun vs tulum",0,3,0.00,62.7
"cancun when to go",0,3,0.00,86.0
"cancunresorts",0,3,0.00,61.7
"cancún resorts",0,3,0.00,55.0
"difference between riviera maya and cancun",0,3,0.00,50.0
"grand fiesta americana hotel cancun",0,3,0.00,77.3
"hard rock cancun reviews",0,3,0.00,38.0
"high season for cancun",0,3,0.00,82.0
"hyatt ziva and zilara",0,3,0.00,25.0
"hyatt ziva vs zilara cancun",0,3,0.00,8.7
"is tulum better than cancun",0,3,0.00,53.3
"la blanca resort cancun",0,3,0.00,78.3
"le blanc cancun rooms",0,3,0.00,81.7
"le blanc cancún",0,3,0.00,58.7
"le blanc resort and spa cancun",0,3,0.00,72.7
"le blanc spa",0,3,0.00,64.7
"le blanc spa and resort",0,3,0.00,59.7
"le blanc spa resort prices",0,3,0.00,76.3
"riviera maya how far from cancun",0,3,0.00,49.7
"riviera maya or cancun",0,3,0.00,64.3
"seaweed cancun season",0,3,0.00,47.3
"secrets mirabel cancun reviews",0,3,0.00,35.3
"tulum mexico vs cancun",0,3,0.00,64.3
"what is the difference between hyatt ziva and zilara",0,3,0.00,19.7
"when is the best time to go to cancun",0,3,0.00,78.3
"where is le blanc spa resort",0,3,0.00,86.3
"best days to fly to cancun",0,2,0.00,59.5
"best month to visit cancun mexico",0,2,0.00,68.0
"best time to go to cancun weather",0,2,0.00,99.0
"blanc spa resort",0,2,0.00,61.5
"cancun algae season",0,2,0.00,23.5
"cancun and tulum",0,2,0.00,86.5
"cancun best time",0,2,0.00,87.5
"cancun hurricane season",0,2,0.00,65.0
"cancun le blanc spa",0,2,0.00,74.0
"cancun or riviera maya which is better",0,2,0.00,60.0
"cancun or tulum",0,2,0.00,64.5
"cancun resort cancun",0,2,0.00,83.5
"cancun seagrass season",0,2,0.00,22.0
"cancun seaweed season 2025",0,2,0.00,50.5
"cancun versus riviera maya",0,2,0.00,51.5
"cancun vs mayan riviera",0,2,0.00,57.0
"difference between cancun and riviera maya",0,2,0.00,58.5
"fiesta grand americana cancun",0,2,0.00,85.5
"go cancun",0,2,0.00,48.5
"grand americana cancun",0,2,0.00,80.0
"grand fiesta americana cancun",0,2,0.00,81.0
"grand fiesta americana reviews",0,2,0.00,34.5
"grand moon palace cancun water park",0,2,0.00,39.0
"high season cancun",0,2,0.00,76.0
"hotel leblanc cancun",0,2,0.00,76.5
"hurricane season cancun",0,2,0.00,69.0
"hyatt zilara cancun",0,2,0.00,93.0
"hyatt zilara vs hyatt ziva cancun",0,2,0.00,10.0
"hyatt ziva cancun vs hyatt zilara cancun",0,2,0.00,9.0
"hyatt ziva or zilara cancun",0,2,0.00,17.0
"is tulum in cancun",0,2,0.00,80.0
"le blanc cancun adults only",0,2,0.00,77.0
"le blanc cancun mexico",0,2,0.00,70.0
"le blanc cancun mexico resort",0,2,0.00,83.5
"le blanc cancun review",0,2,0.00,45.0
"le blanc hotel",0,2,0.00,57.5
"le blanc hotel cancun mexico",0,2,0.00,72.0
"le blanc in cancun",0,2,0.00,69.5
"le blanc mexico",0,2,0.00,67.5
"le blanc resorts",0,2,0.00,65.5
"le blanc spa hotel",0,2,0.00,66.0
"le blanc spa mexico",0,2,0.00,74.0
"le blanc spa palace cancun mexico",0,2,0.00,50.5
"le blanc spa resort adults only",0,2,0.00,77.0
"le blanc spa resort all inclusive adults only resorts",0,2,0.00,66.0
"le blanc spa resort cancun review",0,2,0.00,40.0
"le blanc spa resort hotel",0,2,0.00,66.5
"le blanc spa resort mexico",0,2,0.00,78.5
"le blanc spa resort reviews",0,2,0.00,47.5
"le blanc spa resorts",0,2,0.00,76.0
"le blanc spa reviews",0,2,0.00,49.0
"leblanc cancun reviews",0,2,0.00,40.0
"leblanc resort",0,2,0.00,68.5
"leblanc spa resort",0,2,0.00,56.0
"moon palace cancun water park",0,2,0.00,43.0
"moon palace le blanc",0,2,0.00,74.5
"peak season in cancun",0,2,0.00,87.5
"sargassum cancun september",0,2,0.00,18.5
"sargassum forecast cancun",0,2,0.00,66.0
"sargassum season",0,2,0.00,48.0
"secrets mirabel",0,2,0.00,57.0
"secrets the vine cancun",0,2,0.00,80.5
"the grand at moon palace water park",0,2,0.00,40.0
"what months is sargassum the worst in cancun",0,2,0.00,10.5
"when does cancun have the most seaweed",0,2,0.00,35.0
"when does seaweed season end in cancun",0,2,0.00,42.0
"when does seaweed season start in cancun",0,2,0.00,59.0
"when is hurricane season in mexico cancun",0,2,0.00,89.5
"when is sargassum season",0,2,0.00,65.0
"when is seaweed the worst in cancun",0,2,0.00,20.0
"when is the best time to go to cancun without seaweed",0,2,0.00,25.5
"when is the best time to visit cancun",0,2,0.00,80.5
"ziva vs zilara",0,2,0.00,15.5
"10 de septiembre",0,1,0.00,12.0
"all inclusive le blanc spa resort",0,1,0.00,67.0
"best dates to go to cancun",0,1,0.00,94.0
"best dates to travel to cancun",0,1,0.00,98.0
"best month to go cancun",0,1,0.00,72.0
"best month to go to cancun mexico",0,1,0.00,100.0
"best month to travel to cancun",0,1,0.00,89.0
"best month to visit cancun for weather",0,1,0.00,94.0
"best months to go to cancun",0,1,0.00,46.0
"best months to travel to cancun",0,1,0.00,92.0
"best months to visit cancun",0,1,0.00,100.0
"best months to visit cancun mexico",0,1,0.00,99.0
"best season for cancun",0,1,0.00,74.0
"best season to go to cancun",0,1,0.00,92.0
"best time cancun",0,1,0.00,79.0
"best time for cancun",0,1,0.00,74.0
"best time for cancun vacation",0,1,0.00,97.0
"best time of the year to go to cancun mexico",0,1,0.00,98.0
"best time of year to go to cancun",0,1,0.00,97.0
"best time of year to visit riviera maya avoiding sargassum",0,1,0.00,24.0
"best time to avoid sargassum in cancun",0,1,0.00,65.0
"best time to buy tickets to cancun",0,1,0.00,71.0
"best time to go cancun",0,1,0.00,79.0
"best time to go to cancun mexico",0,1,0.00,91.0
"best time to go to cancun to avoid seaweed",0,1,0.00,25.0
"best time to go to cancun weather wise",0,1,0.00,96.0
"best time to go to mexico cancun",0,1,0.00,72.0
"best time to vacation in cancun",0,1,0.00,78.0
"best time to vacation in cancun mexico",0,1,0.00,98.0
"best time to visit cancun in mexico",0,1,0.00,89.0
"best time to visit cancun november",0,1,0.00,43.0
"best time to visit cancun weather",0,1,0.00,100.0
"best time to visit quintana roo",0,1,0.00,82.0
"best times to travel to cancun",0,1,0.00,84.0
"best weather for cancun",0,1,0.00,80.0
"best weather in cancun",0,1,0.00,78.0
"blanc cancun",0,1,0.00,80.0
"blanc resorts cancun mexico",0,1,0.00,85.0
"can cun resort",0,1,0.00,62.0
"cancu resorts",0,1,0.00,50.0
"cancun busy season",0,1,0.00,77.0
"cancun grand fiesta",0,1,0.00,76.0
"cancun hotel le blanc",0,1,0.00,74.0
"cancun le blanc",0,1,0.00,72.0
"cancun le blanc spa resort",0,1,0.00,74.0
"cancun leblanc",0,1,0.00,75.0
"cancun or mayan riviera",0,1,0.00,55.0
"cancun playa tulum",0,1,0.00,69.0
"cancun resorts list",0,1,0.00,43.0
"cancun resprts",0,1,0.00,57.0
"cancun resrots",0,1,0.00,67.0
"cancun sargasm",0,1,0.00,35.0
"cancun sargasse",0,1,0.00,50.0
"cancun sargassum",0,1,0.00,48.0
"cancun seaweed august",0,1,0.00,24.0
"cancun vs tulum vs cabo",0,1,0.00,55.0
"cancun when is the best time to visit",0,1,0.00,89.0
"cancun y tulum",0,1,0.00,75.0
"cancun zilara",0,1,0.00,66.0
"cheapest time to go cancun",0,1,0.00,62.0
"dady rock cancun",0,1,0.00,62.0
"difference between cancun and tulum",0,1,0.00,94.0
"difference between hyatt ziva and zilara",0,1,0.00,10.0
"fiesta americana beach cancun",0,1,0.00,73.0
"fiesta americana grand",0,1,0.00,74.0
"fiesta americana grand cancun",0,1,0.00,73.0
"fiesta grand americana",0,1,0.00,72.0
"fiesta resort cancun",0,1,0.00,71.0
"grand americana fiesta",0,1,0.00,75.0
"grand at moon palace water park",0,1,0.00,37.0
"grand coral beach fiesta americana",0,1,0.00,75.0
"grand fiesta americana cancun reviews",0,1,0.00,36.0
"grand fiesta americana coral beach cancun review",0,1,0.00,36.0
"grand fiesta americana coral beach cancun water park",0,1,0.00,32.0
"grand fiesta americana coral beach cancún reviews",0,1,0.00,46.0
"grand fiesta americana mexico",0,1,0.00,83.0
"grand fiesta americana resort",0,1,0.00,75.0
"grand fiesta americana resort cancun",0,1,0.00,74.0
"grand fiesta cancun",0,1,0.00,96.0
"grand fiesta coral beach",0,1,0.00,10.0
"grand fiesta mexico",0,1,0.00,63.0
"grand fiesta resort",0,1,0.00,76.0
"grand moon palace swim up suite",0,1,0.00,38.0
"grand moon palace water park",0,1,0.00,40.0
"great fiesta",0,1,0.00,44.0
"hard rock cancun kids club",0,1,0.00,18.0
"hard rock cancun nightlife",0,1,0.00,26.0
"hard rock cancun pool",0,1,0.00,25.0
"hard rock hotel cancun about",0,1,0.00,75.0
"hard rock hotel cancun mexico reviews",0,1,0.00,43.0
"high season in cancun",0,1,0.00,82.0
"hilton tulum vs hilton cancun",0,1,0.00,21.0
"hometogo cancun",0,1,0.00,24.0
"hotel le blanc",0,1,0.00,63.0
"hotel le blanc cancun",0,1,0.00,79.0
"hotel le blanc spa resort cancun",0,1,0.00,76.0
"hotel leblanc",0,1,0.00,89.0
"hottest time in cancun",0,1,0.00,87.0
"how close is riviera maya to cancun",0,1,0.00,32.0
"how far is cancun from riviera maya",0,1,0.00,50.0
"how far is riviera maya from cancun mexico",0,1,0.00,63.0
"how is cancun in november",0,1,0.00,75.0
"hurricane season for cancun",0,1,0.00,65.0
"hyatt cancun zilara reviews",0,1,0.00,54.0
"hyatt zilara cancun mexico",0,1,0.00,94.0
"hyatt zilara cancun reviews",0,1,0.00,58.0
"hyatt zilara vs hyatt ziva",0,1,0.00,10.0
"hyatt zilara vs live aqua",0,1,0.00,18.0
"hyatt zilara vs ziva",0,1,0.00,11.0
"hyatt ziva or zilara",0,1,0.00,9.0
"hyatt ziva vs hyatt zilara cancun",0,1,0.00,8.0
"is cancun part of riviera maya",0,1,0.00,40.0
"is le blanc cancun adults only",0,1,0.00,74.0
"is riviera maya close to cancun",0,1,0.00,43.0
"is there sargassum in cancun in december",0,1,0.00,14.0
"is tulum or cancun better",0,1,0.00,83.0
"la blanca cancun",0,1,0.00,77.0
"le blan cancun",0,1,0.00,77.0
"le blanc",0,1,0.00,51.0
"le blanc all-inclusive resort",0,1,0.00,67.0
"le blanc cancun all inclusive",0,1,0.00,79.0
"le blanc cancun booking",0,1,0.00,56.0
"le blanc cancun spa",0,1,0.00,78.0
"le blanc cancun spa resort",0,1,0.00,73.0
"le blanc honeymoon suite",0,1,0.00,60.0
"le blanc hotel and spa",0,1,0.00,83.0
"le blanc hotels",0,1,0.00,64.0
"le blanc luxury apartments",0,1,0.00,90.0
"le blanc luxury spa resort adults only all inclusive",0,1,0.00,82.0
"le blanc mexico cancun",0,1,0.00,67.0
"le blanc moon palace",0,1,0.00,80.0
"le blanc palace resort",0,1,0.00,58.0
"le blanc palace resorts",0,1,0.00,75.0
"le blanc resort cancun mexico",0,1,0.00,75.0
"le blanc spa and resort cancun",0,1,0.00,70.0
"le blanc spa resort adults only all inclusive",0,1,0.00,68.0
"le blanc spa resort all inclusive",0,1,0.00,78.0
"le blanc spa resort cancun adults only",0,1,0.00,75.0
"le blanc spa resort cancun adults only all inclusive",0,1,0.00,70.0
"le blanc spa resort cancun adults only all-inclusive",0,1,0.00,72.0
"le blanc spa resort cancun all inclusive adults only",0,1,0.00,70.0
"le blanc spa resort cancun mexico",0,1,0.00,66.0
"le blanc spa resort cancun:",0,1,0.00,82.0
"le blanc spa resort rooms",0,1,0.00,88.0
"le blanc spa resorts cancun",0,1,0.00,79.0
"leblanc cancun hotel",0,1,0.00,78.0
"leblanc cancun resort",0,1,0.00,79.0
"leblanc dominican republic",0,1,0.00,67.0
"leblanc hotel",0,1,0.00,50.0
"leblanc resorts",0,1,0.00,72.0
"leblanc spa",0,1,0.00,63.0
"leblanc spa and resort",0,1,0.00,68.0
"marzo",0,1,0.00,11.0
"mayan riviera vs cancun",0,1,0.00,53.0
"mexico le blanc",0,1,0.00,74.0
"mexico sargassum season",0,1,0.00,80.0
"moon palace cancun slides",0,1,0.00,25.0
"moon palace grand cancun water park",0,1,0.00,41.0
"moon palace pool",0,1,0.00,17.0
"moon palace the grand water slides",0,1,0.00,42.0
"moon palace water park cancun",0,1,0.00,43.0
"moon palace waterpark",0,1,0.00,42.0
"off the vine playa",0,1,0.00,55.0
"palace le blanc cancun",0,1,0.00,53.0
"resort le blanc cancun",0,1,0.00,81.0
"resorts and cancun",0,1,0.00,65.0
"resorts in cancun quintana roo mexico",0,1,0.00,94.0
"reviews hard rock cancun",0,1,0.00,43.0
"reviews of hard rock cancun",0,1,0.00,41.0
"riveria maya vs cancun",0,1,0.00,45.0
"riviera maya and cancun",0,1,0.00,59.0
"riviera maya mexico vs cancun",0,1,0.00,68.0
"riviera maya or cancun which is better",0,1,0.00,69.0
"riviera maya vs cancun mexico",0,1,0.00,68.0
"sargassum cancun 2026",0,1,0.00,41.0
"sargassum cancun forecast",0,1,0.00,53.0
"sargassum cancun october",0,1,0.00,32.0
"sargassum mexico season",0,1,0.00,32.0
"seasons in cancun",0,1,0.00,75.0
"seaweed forecast cancun",0,1,0.00,50.0
"seaweed in cancun in november",0,1,0.00,27.0
"seaweed season mexico",0,1,0.00,50.0
"seaweed watch cancun",0,1,0.00,42.0
"secret mirabel cancun",0,1,0.00,55.0
"secret the vine cancun",0,1,0.00,75.0
"secret vine cancun",0,1,0.00,75.0
"secret vines cancun",0,1,0.00,71.0
"secrets de vine",0,1,0.00,18.0
"secrets maribel cancun",0,1,0.00,58.0
"secrets mirabel cancun all inclusive",0,1,0.00,49.0
"secrets mirabel cancun resort & spa reviews",0,1,0.00,38.0
"secrets mirabel cancún resort",0,1,0.00,60.0
"secrets of the vine cancun",0,1,0.00,79.0
"secrets the vine cancun resort",0,1,0.00,75.0
"secrets the vine hotel mexico",0,1,0.00,54.0
"secrets the vine review",0,1,0.00,35.0
"secrets the vine reviews",0,1,0.00,34.0
"secrets the vines",0,1,0.00,67.0
"staying in cancun",0,1,0.00,97.0
"storm season cancun",0,1,0.00,74.0
"storm season in cancun",0,1,0.00,79.0
"the best time to go to cancun",0,1,0.00,94.0
"the best time to visit cancun",0,1,0.00,83.0
"the blanc cancun",0,1,0.00,72.0
"the grand fiesta",0,1,0.00,61.0
"the grand fiesta americana",0,1,0.00,83.0
"the grand fiesta americana cancun",0,1,0.00,81.0
"the secrets vine",0,1,0.00,63.0
"the vine cancun",0,1,0.00,58.0
"tulum beach cancun",0,1,0.00,62.0
"tulum o cancun",0,1,0.00,31.0
"vacations to go cancun",0,1,0.00,51.0
"water park moon palace cancun",0,1,0.00,39.0
"water park the grand",0,1,0.00,35.0
"water park the grand photos",0,1,0.00,30.0
"what are the worst months for seaweed in cancun",0,1,0.00,30.0
"what is sargassum season in cancun",0,1,0.00,71.0
"what is seaweed season in cancun",0,1,0.00,41.0
"what time of year is sargassum the worst in cancun",0,1,0.00,7.0
"when did it start",0,1,0.00,7.0
"when does cancun get seaweed",0,1,0.00,33.0
"when does hurricane season start in cancun",0,1,0.00,92.0
"when does sargassum season start in cancun",0,1,0.00,20.0
"when is a good time to go to cancun",0,1,0.00,90.0
"when is a good time to visit cancun",0,1,0.00,90.0
"when is best time to visit cancun",0,1,0.00,90.0
"when is cancun hurricane season",0,1,0.00,65.0
"when is cancun off season",0,1,0.00,86.0
"when is high season in cancun",0,1,0.00,79.0
"when is hurricane season for cancun mexico",0,1,0.00,66.0
"when is hurricane season in cancun mexico",0,1,0.00,69.0
"when is it cheaper to go to cancun",0,1,0.00,98.0
"when is it hurricane season in cancun mexico",0,1,0.00,73.0
"when is sargassum season in mexico",0,1,0.00,41.0
"when is sargassum the worst in cancun",0,1,0.00,11.0
"when is seaweed season cancun",0,1,0.00,46.0
"when is seaweed season in mexico",0,1,0.00,46.0
"when is storm season in cancun",0,1,0.00,71.0
"when is the best time to go to cancun mexico",0,1,0.00,90.0
"when is the best time to visit cancun mexico",0,1,0.00,78.0
"when is the hurricane season in cancun mexico",0,1,0.00,93.0
"when is the hurricane season in mexico cancun",0,1,0.00,98.0
"when is there a lot of seaweed in cancun",0,1,0.00,37.0
"when is there sargassum in cancun",0,1,0.00,23.0
"when not to go to cancun",0,1,0.00,94.0
"when to go cancun",0,1,0.00,87.0
"when to visit mexico cancun",0,1,0.00,99.0
"zilara cancun",0,1,0.00,85.0
